id	response_text	timestamp
13	"Künstliche Intelligenz ist ein interdisziplinäres Feld, das sich mit der Entwicklung intelligenter Agenten beschäftigt, die in der Lage sind, Aufgaben zu lösen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:46:32
14	"Künstliche Intelligenz ist ein Zweig der Informatik, der sich mit der Entwicklung intelligenter Agenten befasst, also Systemen, die ihre Umgebung wahrnehmen und Maßnahmen ergreifen, um ihre Ziele zu erreichen.
"	2025-04-25 07:47:02
15	"Künstliche Intelligenz ist ein breites Feld der Informatik, das sich mit der Entwicklung intelligenter Agenten befasst, d. h. Systeme, die ihre Umgebung wahrnehmen und Maßnahmen ergreifen, um ihre Ziele zu erreichen.
"	2025-04-25 07:47:32
16	"Künstliche Intelligenz ist ein Bereich der Informatik, der sich mit der Entwicklung von intelligenten Agenten befasst, d.h. Systemen, die ihre Umgebung wahrnehmen und Aktionen ausführen, um bestimmte Ziele zu erreichen.
"	2025-04-25 07:47:44
17	"Künstliche Intelligenz ist ein interdisziplinäres Feld, das sich mit der Entwicklung intelligenter Agenten befasst, die in der Lage sind, Aufgaben auszuführen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:48:02
18	"Künstliche Intelligenz ist ein breites Feld der Informatik, das sich mit der Entwicklung intelligenter Agenten befasst, die in der Lage sind, Aufgaben auszuführen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:48:32
19	"Künstliche Intelligenz ist ein breit gefächertes Feld der Informatik, das sich mit der Entwicklung von intelligenten Agenten befasst, die in der Lage sind, Aufgaben auszuführen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:49:03
20	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung von intelligenten Maschinen und Software beschäftigt, die in der Lage sind, menschenähnliche Aufgaben zu erfüllen.
"	2025-04-25 07:49:32
21	"Künstliche Intelligenz ist ein sich rasch entwickelnder Bereich der Informatik, der sich mit der Entwicklung von intelligenten Maschinen und Systemen befasst.
"	2025-04-25 07:50:03
22	"Künstliche Intelligenz ist ein breites Feld der Informatik, das sich mit der Entwicklung von intelligenten Agenten befasst, d.h. Systemen, die ihre Umgebung wahrnehmen und Handlungen ausführen, um bestimmte Ziele zu erreichen.
"	2025-04-25 07:50:33
23	"Künstliche Intelligenz ist ein sich schnell entwickelndes Feld, das darauf abzielt, Computer in die Lage zu versetzen, Aufgaben auszuführen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:51:02
24	"Künstliche Intelligenz ist die Fähigkeit von Maschinen, Aufgaben auszuführen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:51:32
25	"Künstliche Intelligenz ist ein weites Feld, das sich mit der Entwicklung von Computersystemen beschäftigt, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:52:02
26	"Künstliche Intelligenz ist ein Zweig der Informatik, der sich mit der Entwicklung von intelligenten Agenten befasst, das heisst, Systemen, die ihre Umgebung wahrnehmen und Massnahmen ergreifen, um ihre Erfolgschancen zu maximieren.
"	2025-04-25 07:52:32
27	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung von intelligenten Maschinen und Systemen beschäftigt.
"	2025-04-25 07:53:02
28	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung intelligenter Agenten befasst, d. h. Systemen, die ihre Umwelt wahrnehmen und Aktionen ausführen, um bestimmte Ziele zu erreichen.
"	2025-04-25 07:53:12
29	"Künstliche Intelligenz ist ein sich schnell entwickelndes Feld, das darauf abzielt, Maschinen zu entwickeln, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:53:22
30	"Künstliche Intelligenz ist ein Feld der Informatik, das sich mit der Entwicklung intelligenter Agenten befasst, d.h. Systemen, die ihre Umgebung wahrnehmen und Aktionen ausführen können, um ihre Ziele zu erreichen.
"	2025-04-25 07:53:32
31	"Künstliche Intelligenz ist ein multidisziplinäres Feld, das sich mit der Entwicklung intelligenter Agenten befasst, die in der Lage sind, menschenähnliche Aufgaben zu lösen.
"	2025-04-25 07:53:42
32	"Künstliche Intelligenz ist ein weites Feld der Informatik, das sich mit der Entwicklung intelligenter Agenten befasst, d. h. Systemen, die ihre Umgebung wahrnehmen und Aktionen ausführen, um bestimmte Ziele zu erreichen.
"	2025-04-25 07:53:52
33	"Künstliche Intelligenz ist ein weites Feld der Informatik, das sich mit der Entwicklung intelligenter Agenten befasst, d. h. mit Systemen, die ihre Umgebung wahrnehmen und Handlungen ausführen, um bestimmte Ziele zu erreichen.
"	2025-04-25 07:54:02
34	"Künstliche Intelligenz ist ein sich schnell entwickelndes Feld der Informatik, das sich mit der Entwicklung intelligenter Agenten befasst, die in der Lage sind, Aufgaben auszuführen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:54:12
35	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich, der sich mit der Entwicklung von Computersystemen befasst, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:54:22
36	"Künstliche Intelligenz ist ein sich schnell entwickelndes Feld, das sich mit der Entwicklung intelligenter Computerprogramme und -maschinen befasst, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:54:32
37	"Künstliche Intelligenz ist ein sich schnell entwickelndes Feld, das sich mit der Entwicklung intelligenter Computerprogramme und -maschinen befasst, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:54:42
38	"Künstliche Intelligenz ist ein sich schnell entwickelndes Feld, das versucht, intelligente Verhaltensweisen in Computern nachzubilden.
"	2025-04-25 07:54:52
39	"Künstliche Intelligenz ist ein breites Feld der Informatik, das sich mit der Entwicklung intelligenter Agenten befasst, die denken, lernen und handeln können.
"	2025-04-25 07:55:02
40	"Künstliche Intelligenz ist ein Feld der Informatik, das sich mit der Entwicklung von intelligenten Agenten beschäftigt, die denken, lernen und handeln können wie Menschen.
"	2025-04-25 07:55:12
41	"Künstliche Intelligenz ist ein interdisziplinäres Feld, das sich mit der Entwicklung von Computersystemen befasst, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:55:22
42	"Künstliche Intelligenz ist ein Zweig der Informatik, der sich mit der Entwicklung von intelligenten Agenten beschäftigt, also Systemen, die ihre Umwelt wahrnehmen und Handlungen ausführen, um bestimmte Ziele zu erreichen.
"	2025-04-25 07:55:32
43	"Künstliche Intelligenz ist ein sich schnell entwickelndes Feld, das sich mit der Entwicklung von intelligenten Agenten befasst, die Aufgaben erledigen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:55:42
44	"Künstliche Intelligenz ist ein sich schnell entwickelndes Feld der Informatik, das sich mit der Entwicklung intelligenter Agenten befasst, also Systemen, die ihre Umgebung wahrnehmen und Aktionen ausführen, um ihre Ziele zu erreichen.
"	2025-04-25 07:55:52
45	"Künstliche Intelligenz ist ein sich rasch entwickelnder Bereich der Informatik, der sich mit der Entwicklung intelligenter Maschinen befasst, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:56:02
46	"Künstliche Intelligenz ist ein sich rasch entwickelnder Bereich der Informatik, der sich mit der Entwicklung intelligenter Maschinen befasst, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:56:12
47	"Künstliche Intelligenz ist ein multidisziplinäres Feld, das sich mit der Entwicklung von intelligenten Agenten beschäftigt, die in der Lage sind, Aufgaben auszuführen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:56:22
48	"Künstliche Intelligenz ist ein interdisziplinäres Feld der Informatik, das sich mit der Automatisierung intelligenten Verhaltens befasst.
"	2025-04-25 07:56:32
49	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung intelligenter Maschinen befasst, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:56:42
50	"Künstliche Intelligenz ist ein interdisziplinäres Feld der Informatik, das sich mit der Theorie und Entwicklung von Computersystemen befasst, die Aufgaben ausführen können, die normalerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:56:52
51	"Künstliche Intelligenz ist die Fähigkeit von Maschinen, menschenähnliche Denkprozesse zu imitieren und Aufgaben zu lösen.
"	2025-04-25 07:57:02
52	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung von intelligenten Agenten befasst, die in der Lage sind, Aufgaben zu erledigen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:57:12
53	"Künstliche Intelligenz ist ein sich schnell entwickelndes Gebiet der Informatik, das sich mit der Entwicklung intelligenter Agenten befasst, die denken, lernen und Probleme lösen können.
"	2025-04-25 07:57:22
54	"Künstliche Intelligenz ist ein sich rasch entwickelndes Feld der Informatik, das sich mit der Entwicklung intelligenter Maschinen und Systeme beschäftigt, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:57:32
55	"Künstliche Intelligenz ist ein breites Feld der Informatik, das sich mit der Entwicklung intelligenter Agenten befasst, die in der Lage sind, Aufgaben auszuführen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:57:42
56	"Künstliche Intelligenz ist ein sich schnell entwickelndes Feld der Informatik, das sich mit der Entwicklung intelligenter Maschinen und Systeme befasst.
"	2025-04-25 07:57:52
57	"Künstliche Intelligenz ist ein sich schnell entwickelndes Feld der Informatik, das sich mit der Entwicklung intelligenter Maschinen befasst, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:58:03
58	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung intelligenter Maschinen und Software befasst, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:58:12
59	"Künstliche Intelligenz ist ein breites Feld der Informatik, das sich mit der Entwicklung von intelligenten Agenten befasst, d.h. Systemen, die ihre Umgebung wahrnehmen und Handlungen ausführen, um bestimmte Ziele zu erreichen.
"	2025-04-25 07:58:22
60	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung von intelligenten Agenten befasst, d. h. Systemen, die ihre Umgebung wahrnehmen und Handlungen vornehmen, um ihre Ziele zu erreichen.
"	2025-04-25 07:58:33
61	"Künstliche Intelligenz ist ein weites Feld der Informatik, das sich mit der Entwicklung von intelligenten Agenten befasst, die in der Lage sind, menschenähnliche Aufgaben zu erfüllen.
"	2025-04-25 07:58:42
62	"Künstliche Intelligenz ist ein breites Feld der Informatik, das sich mit der Entwicklung intelligenter Maschinen und Software befasst, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:58:52
63	"Künstliche Intelligenz ist ein sich schnell entwickelndes Feld, das darauf abzielt, Computer in die Lage zu versetzen, Aufgaben zu erledigen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:59:03
64	"Künstliche Intelligenz ist ein multidisziplinäres Feld, das sich mit der Entwicklung intelligenter Agenten beschäftigt, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:59:13
65	"Künstliche Intelligenz ist ein breites Feld der Informatik, das sich mit der Entwicklung intelligenter Agenten befasst, die in der Lage sind, Aufgaben zu erledigen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:59:22
66	"Künstliche Intelligenz ist ein breites Feld der Informatik, das sich mit der Entwicklung von intelligenten Agenten beschäftigt, die in der Lage sind, Aufgaben auszuführen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:59:33
67	"Künstliche Intelligenz ist ein Gebiet der Informatik, das sich mit der Entwicklung intelligenter Agenten befasst, d. h. Systeme, die ihre Umgebung wahrnehmen und Massnahmen ergreifen, um ihre Ziele zu erreichen.
"	2025-04-25 07:59:43
68	"Künstliche Intelligenz ist ein interdisziplinäres Feld, das sich mit der Entwicklung intelligenter Agenten befasst, die in der Lage sind, Aufgaben zu erfüllen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 07:59:53
69	"Künstliche Intelligenz ist ein interdisziplinäres Feld der Informatik, das sich mit der Entwicklung intelligenter Agenten befasst, die in der Lage sind, Aufgaben zu erfüllen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:00:02
70	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung intelligenter Maschinen befasst, die Aufgaben erledigen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:00:12
71	"Künstliche Intelligenz ist ein breites Feld der Informatik, das sich mit der Entwicklung von intelligenten Agenten befasst, d. h. Systemen, die ihre Umgebung wahrnehmen und Aktionen ausführen, um bestimmte Ziele zu erreichen.
"	2025-04-25 08:00:22
72	"Künstliche Intelligenz ist ein breites Feld der Informatik, das sich mit der Entwicklung intelligenter Agenten befasst, die in der Lage sind, Aufgaben auszuführen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:00:32
73	"Künstliche Intelligenz ist ein sich schnell entwickelndes Feld, das darauf abzielt, Computer in die Lage zu versetzen, Aufgaben zu erfüllen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:00:42
74	"Künstliche Intelligenz ist ein interdisziplinäres Feld der Informatik, das sich mit der Theorie und Entwicklung von Computersystemen befasst, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:00:52
75	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung intelligenter Maschinen befasst, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:01:02
76	"Künstliche Intelligenz ist ein weites Feld der Informatik, das sich mit der Entwicklung von intelligenten Agenten befasst, die in der Lage sind, menschenähnliche Aufgaben zu erledigen.
"	2025-04-25 08:01:12
77	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung intelligenter Agenten befasst, d. h. Systeme, die ihre Umgebung wahrnehmen und Maßnahmen ergreifen, um ihre Ziele zu erreichen.
"	2025-04-25 08:01:22
78	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung intelligenter Maschinen und Systeme befasst, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:01:32
79	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung intelligenter Maschinen und Systeme befasst, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:01:42
80	"Künstliche Intelligenz ist ein Bereich der Informatik, der sich mit der Entwicklung intelligenter Agenten befasst, d.h. Systeme, die ihre Umgebung wahrnehmen und Aktionen ausführen, um ein bestimmtes Ziel zu erreichen.
"	2025-04-25 08:01:52
81	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung von intelligenten Maschinen und Systemen beschäftigt, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:02:02
82	"Künstliche Intelligenz ist ein sich schnell entwickelndes Feld, das darauf abzielt, Computer zu entwickeln, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:02:12
83	"Künstliche Intelligenz ist ein interdisziplinäres Feld, das sich mit der Entwicklung intelligenter Agenten befasst, also Systemen, die ihre Umwelt wahrnehmen, denken, lernen und handeln können, um bestimmte Ziele zu erreichen.
"	2025-04-25 08:02:22
84	"Künstliche Intelligenz ist die Fähigkeit von Maschinen, menschenähnliche kognitive Funktionen auszuführen, wie Lernen, Problemlösen und Entscheidungsfindung.
"	2025-04-25 08:02:32
85	"Künstliche Intelligenz ist ein breites Feld der Informatik, das sich mit der Entwicklung von intelligenten Agenten befasst, d.h. Systemen, die ihre Umwelt wahrnehmen und Aktionen ausführen können, um bestimmte Ziele zu erreichen.
"	2025-04-25 08:02:42
86	"Künstliche Intelligenz ist die Fähigkeit von Maschinen, menschliche Intelligenz nachzuahmen.
"	2025-04-25 08:02:52
87	"Künstliche Intelligenz ist ein sich schnell entwickelndes Feld der Informatik, das sich mit der Entwicklung intelligenter Agenten befasst, die in der Lage sind, Aufgaben auszuführen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:03:02
88	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung intelligenter Agenten befasst, die in der Lage sind, Aufgaben auszuführen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:03:12
89	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung intelligenter Maschinen und Softwaresysteme befasst, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:03:22
90	"Künstliche Intelligenz ist die Fähigkeit von Maschinen, menschenähnliche kognitive Funktionen wie Lernen, Problemlösen und Entscheidungsfindung auszuführen.
"	2025-04-25 08:03:32
91	"Künstliche Intelligenz ist ein Feld der Informatik, das sich mit der Entwicklung intelligenter Agenten befasst, die in der Lage sind, Aufgaben auszuführen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:03:42
92	"Künstliche Intelligenz ist ein breites Feld der Informatik, das sich mit der Entwicklung von intelligenten Agenten befasst, die in der Lage sind, menschenähnliche Aufgaben zu lösen.
"	2025-04-25 08:03:52
93	"Künstliche Intelligenz ist ein sich schnell entwickelndes Feld, das sich mit der Entwicklung von Computersystemen befasst, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:04:02
94	"Künstliche Intelligenz ist ein weites Feld der Informatik, das sich mit der Entwicklung intelligenter Maschinen und Softwaresysteme befasst, die Aufgaben ausführen können, für die normalerweise menschliche Intelligenz erforderlich ist.
"	2025-04-25 08:04:12
95	"Künstliche Intelligenz ist ein breites Feld der Informatik, das sich mit der Entwicklung intelligenter Agenten befasst, d. h. Systeme, die ihre Umgebung wahrnehmen und Aktionen ausführen, um ihre Ziele zu erreichen.
"	2025-04-25 08:04:22
96	"Künstliche Intelligenz ist ein interdisziplinäres Feld der Informatik, das sich mit der Automatisierung intelligenten Verhaltens und dem Bau von Maschinen, die menschenähnliche Aufgaben ausführen können, befasst.
"	2025-04-25 08:04:32
97	"Künstliche Intelligenz ist ein interdisziplinäres Feld, das sich mit der Entwicklung von intelligenten Agenten beschäftigt, die in der Lage sind, menschenähnliche Aufgaben auszuführen.
"	2025-04-25 08:04:42
98	"Künstliche Intelligenz ist ein breites Feld der Informatik, das sich mit der Entwicklung von intelligenten Agenten beschäftigt, die in der Lage sind, menschenähnliche Aufgaben zu erfüllen.
"	2025-04-25 08:04:52
99	"Künstliche Intelligenz ist ein sich schnell entwickelndes Feld der Informatik, das sich mit der Entwicklung intelligenter Maschinen beschäftigt, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:05:02
100	"Künstliche Intelligenz ist ein weitreichendes Feld der Informatik, das sich mit der Entwicklung intelligenter Agenten befasst, d. h. Systeme, die ihre Umwelt wahrnehmen und Aktionen ausführen, um bestimmte Ziele zu erreichen.
"	2025-04-25 08:05:12
101	"Künstliche Intelligenz ist ein breit gefächertes Feld der Informatik, das sich mit der Entwicklung intelligenter Agenten beschäftigt, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:05:22
102	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung intelligenter Agenten befasst, also Systemen, die ihre Umgebung wahrnehmen und Handlungen ausführen, um bestimmte Ziele zu erreichen.
"	2025-04-25 08:05:32
103	"Künstliche Intelligenz ist ein sich rasch entwickelndes Feld, das darauf abzielt, Maschinen zu entwickeln, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:05:42
104	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung intelligenter Maschinen befasst, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:05:52
105	"Künstliche Intelligenz ist ein breites Feld der Informatik, das sich mit der Entwicklung intelligenter Agenten befasst, d. h. Systemen, die ihre Umgebung wahrnehmen und Handlungen ausführen, um bestimmte Ziele zu erreichen.
"	2025-04-25 08:06:02
106	"Künstliche Intelligenz ist ein sich schnell entwickelndes Feld, das sich mit der Entwicklung intelligenter Computerprogramme und Maschinen beschäftigt, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:06:12
107	"Künstliche Intelligenz ist ein interdisziplinäres Feld der Informatik, das sich mit der Automatisierung intelligenten Verhaltens befasst.
"	2025-04-25 08:06:22
108	"Künstliche Intelligenz ist ein Bereich der Informatik, der sich mit der Entwicklung intelligenter Agenten beschäftigt, das heisst, Systeme, die ihre Umgebung wahrnehmen und Aktionen ausführen, um ihre Ziele zu erreichen.
"	2025-04-25 08:06:32
109	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung intelligenter Maschinen und Softwaresysteme befasst, die in der Lage sind, Aufgaben zu erledigen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:06:42
110	"Künstliche Intelligenz ist ein interdisziplinäres Feld der Informatik, das sich mit der Automatisierung intelligenten Verhaltens befasst.
"	2025-04-25 08:06:52
111	"Künstliche Intelligenz ist ein sich schnell entwickelndes Feld der Informatik, das sich mit der Entwicklung von intelligenten Agenten befasst, die in der Lage sind, Aufgaben zu erledigen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:07:03
112	"Künstliche Intelligenz ist ein breites Feld der Informatik, das sich mit der Entwicklung intelligenter Agenten befasst, d.h. Systemen, die ihre Umgebung wahrnehmen und Aktionen ausführen, um bestimmte Ziele zu erreichen.
"	2025-04-25 08:07:12
113	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung intelligenter Agenten beschäftigt, d. h. Systeme, die ihre Umgebung wahrnehmen und Handlungen ausführen, um ihre Ziele zu erreichen.
"	2025-04-25 08:07:22
114	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung von intelligenten Maschinen und Systemen befasst, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:07:32
115	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung von intelligenten Agenten befasst, d. h. Systemen, die ihre Umgebung wahrnehmen und Massnahmen ergreifen, um ihre Erfolgschancen zu maximieren.
"	2025-04-25 08:07:43
116	"Künstliche Intelligenz ist ein breites Feld der Informatik, das sich mit der Entwicklung intelligenter Agenten beschäftigt, die in der Lage sind, Aufgaben zu erledigen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:07:52
117	"Künstliche Intelligenz ist ein sich schnell entwickelndes Feld, das darauf abzielt, Computer zu befähigen, Aufgaben auszuführen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:08:02
118	"Künstliche Intelligenz ist ein sich schnell entwickelndes Feld, das darauf abzielt, Maschinen zu entwickeln, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:08:12
119	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung intelligenter Computerprogramme befasst, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:08:22
120	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung intelligenter Computerprogramme und -maschinen befasst, die Aufgaben erledigen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:08:32
121	"Künstliche Intelligenz ist ein interdisziplinäres Feld der Informatik, das sich mit der Automatisierung intelligenten Verhaltens befasst.
"	2025-04-25 08:08:42
122	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung intelligenter Agenten befasst, die in der Lage sind, Aufgaben zu erledigen, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:08:52
123	"Künstliche Intelligenz ist ein sich schnell entwickelnder Bereich der Informatik, der sich mit der Entwicklung von intelligenten Agenten befasst, d. h. Systemen, die ihre Umwelt wahrnehmen und Maßnahmen ergreifen, um ihre Ziele zu erreichen.
"	2025-04-25 08:09:02
124	"Künstliche Intelligenz ist ein sich rasch entwickelnder Bereich der Informatik, der sich mit der Entwicklung intelligenter Maschinen und Systeme befasst, die Aufgaben ausführen können, die typischerweise menschliche Intelligenz erfordern.
"	2025-04-25 08:09:12
